Item	Year	LearningArea	Strand	Substrand	Text	Elaborations
ACSSU153	8	Science	Science Understanding	Earth and Space Sciences	Sedimentary, igneous and metamorphic rocks contain minerals and are formed by processes that occur within Earth over a variety of timescales	"_ representing the stages in the formation of igneous, metamorphic and sedimentary rocks, including indications of timescales involved; identifying a range of common rock types using a key based on observable physical and chemical properties; recognising that rocks are a collection of different minerals; considering the role of forces and energy in the formation of different types of rocks and minerals; recognising that some rocks and minerals, such as ores, provide valuable resources"
ACSSU155	8	Science	Science Understanding	Physical Sciences	Energy appears in different forms, including movement (kinetic energy), heat and potential energy, and energy transformations and transfers cause change within systems	"_ recognising that kinetic energy is the energy possessed by moving bodies; recognising that potential energy is stored energy, such as gravitational, chemical and elastic energy; investigating different forms of energy in terms of the effects they cause, such as gravitational potential causing objects to fall and heat energy transferred between materials that have a different temperature; recognising that heat energy is often produced as a by-product of energy transfer, such as brakes on a car and light globes; using flow diagrams to illustrate changes between different forms of energy"
ACSHE134	8	Science	Science as a Human Endeavour	Nature and development of science	Scientific knowledge has changed peoples’ understanding of the world and is refined as new evidence becomes available 	"_ investigating developments in the understanding of cells and how this knowledge has impacted on areas such as health and medicine; discovering how people’s understanding of the nature of matter has changed over time as evidence for particle theory has become available through developments in technology; considering how the idea of elements has developed over time as knowledge of the nature of matter has improved; investigating the development of the microscope and the impact it has had on the understanding of cell functions and division "
ACSHE226	8	Science	Science as a Human Endeavour	Nature and development of science	Science knowledge can develop through collaboration across the disciplines of science and the contributions of people from a range of cultures	"_ investigating how knowledge of the location and extraction of mineral resources relies on expertise from across the disciplines of science; considering how advances in technology, combined with scientific understanding of the functioning of body systems, has enabled medical science to replace or repair organs; researching the use of reproductive technologies and how developments in this field rely on scientific knowledge from different areas of science"
ACSHE135	8	Science	Science as a Human Endeavour	Use and influence of science	Solutions to contemporary issues that are found using science and technology, may impact on other areas of society and may involve ethical considerations	"_ investigating requirements and the design of systems for collecting and recycling household waste; investigating strategies implemented to maintain part of the local environment, such as bushland, a beach, a lake, a desert or a shoreline; investigating how energy efficiency can reduce energy consumption; investigating the development of vehicles over time, including the application of science to contemporary designs of solar-powered vehicles; discussing ethical issues that arise from organ transplantation"
ACSHE136	8	Science	Science as a Human Endeavour	Use and influence of science	People use science understanding and skills in their occupations and these have influenced the development of practices in areas of human activity	"_ describing how technologies have been applied to modern farming techniques to improve yields and sustainability; investigating how Aboriginal people recognise relationships in ecosystems by burning to promote new growth, attract animals and afford easier hunting and food gathering; describing the impact of plant cloning techniques (asexual production) in agriculture such as horticulture, fruit production and vineyards; investigating the role of science in the development of technology important to the economies and communities of the Asia–Pacific regions, for example car manufacture, earthquake prediction and electronic optics; recognising the role of knowledge of the environment and ecosystems in a number of occupations; considering how engineers improve energy efficiency of a range of processes; recognising the role of knowledge of cells and cell divisions in the area of disease treatment and control; investigating how scientists have created new materials such as synthetic fibres, heat-resistant plastics and pharmaceuticals"
ACSIS139	8	Science	Science Inquiry Skills	Questioning and predicting	Identify questions and problems that can be investigated scientifically and make predictions based on scientific knowledge	"_ considering whether investigation using available resources is possible when identifying questions or problems to investigate; recognising that the solution of some questions and problems requires consideration of social, cultural, economic or moral aspects rather than or as well as scientific investigation; using information and knowledge from their own investigations and secondary sources to predict the expected results from an investigation"
ACSIS140	8	Science	Science Inquiry Skills	Planning and conducting	Collaboratively and individually plan and conduct a range of investigation types, including fieldwork and experiments, ensuring safety and ethical guidelines are followed	"_ working collaboratively to decide how to best approach an investigation; identifying any ethical considerations that may apply to the investigation; taking into consideration all aspects of fair testing, available equipment and safe investigation when planning investigations"
ACSIS141	8	Science	Science Inquiry Skills	Planning and conducting	Measure and control variables, select equipment appropriate to the task and collect data with accuracy	"_ using specialised equipment to increase the accuracy of measurement within an investigation; identifying and explaining the differences between controlled, dependent and independent variables"
ACSIS144	8	Science	Science Inquiry Skills	Processing and analysing data and information 	Construct and use a range of representations, including graphs, keys and models to represent and analyse patterns or relationships in data using digital technologies as appropriate	"_ describing measures of central tendency and identifying outliers for quantitative data; explaining the strengths and limitations of representations such as physical models, diagrams and simulations in terms of the attributes of systems included or not included"
ACSIS145	8	Science	Science Inquiry Skills	Processing and analysing data and information 	Summarise data, from students’ own investigations and secondary sources, and use scientific understanding to identify relationships and draw conclusions based on evidence	"_ constructing tables, graphs, keys and models to represent relationships and trends in collected data; drawing conclusions based on a range of evidence including primary and secondary sources"
ACSIS146	8	Science	Science Inquiry Skills	Evaluating 	Reflect on scientific investigations including evaluating the quality of the data collected, and identifying improvements	"_ suggesting improvements to investigation methods that would improve the accuracy of the data recorded; discussing investigation methods with others to share ideas about the quality of the inquiry process"
ACSIS234	8	Science	Science Inquiry Skills	Evaluating 	Use scientific knowledge and findings from investigations to evaluate claims based on evidence	"_ identifying the scientific evidence available to evaluate claims; deciding whether or not to accept claims based on scientific evidence; identifying where science has been used to make claims relating to products and practices"
ACSIS148	8	Science	Science Inquiry Skills	Communicating	Communicate ideas, findings and evidence based solutions to problems using scientific language, and representations, using digital technologies as appropriate	"_ using digital technologies to construct a range of text types to present science ideas; selecting and using appropriate language and representations to communcate science ideas within a specified text type and for a specified audience"
